sort,filename,caption_en,caption_zh,latitude,longitude,electoral_code,dc_winner,percentage_democracy
1,I__1.jpg,"Tin Yiu, Yuen Long","天耀, 元朗区",22.45,114.004,M-19,🟡,61.20%
2,I__2.jpg,"San Po Kong, Wong Tai Sin","新蒲崗, 黄大仙区",22.336,114.2,H-07,🟡,55.77%
3,I__3.jpg,"Mong Kok East, Sham Shui Po","旺角東, 油尖旺区",22.324,114.171,E-14,🟡,59.39%
4,I__4.jpg,"Tai Wai, Sha Tin","大圍, 沙田区",22.377,114.177,R-20,🟡,54.27%
5,I__5.jpg,"Hennessy, Wan Chai","軒尼詩, 灣仔區",22.281,114.176,B-01,🟡,68.23%
6,I__6.jpg,"Tuen Mun Rural, Tuen Mun","屯門鄉郊, 屯门区",22.423,113.989,L-29,🟡,60.17%
7,I__7.jpg,"Shek Wu Hui, North","石湖墟, 北区",22.504,114.127,N-13,🟡,62.09%
8,I__8.jpg,"Ha Tsuen, Yuen Long","廈村, 元朗区",22.443,113.973,M-15,🔵,41.59%
9,I__9.jpg,"Fanling South, North","粉嶺南, 北区",22.489,114.137,N-07,🟡,57.58%
10,I__10.jpg,"Shap Pat Heung North, Yuen Long","十八鄉北, 元朗区",22.452,114.04,M-10,🔵,45.80%
11,I__11.jpg,"Luen Wo Hui, North","聯和墟, 北区",22.5,114.143,N-01,🟡,56.49%
12,I__12.jpg,"Ting Sham, Tsuen Wan","汀深, 荃湾区",22.376,114.059,K-13,🟡,52.97%
13,I__13.jpg,"Hing Tung, Eastern","興東, 東區",22.281,114.219,C-28,🟡,57.82%
14,I__14.jpg,"Wan Shing, Sha Tin","雲城, 沙田区",22.37,114.176,R-16,🟡,59.79%
15,I__15.jpg,"Chung Tin, Sha Tin","松田, 沙田区",22.383,114.166,R-21,🟡,60.51%
16,I__16.jpg,"Fortune, Sham Shui Po","幸福, 深水埗区",22.334,114.154,F-11,🟡,50.61%
17,I__17.jpg,"So Uk, Sham Shui Po","蘇屋, 深水埗区",22.341,114.157,F-20,🔵,48.29%
18,I__18.jpg,"Fortress Hill, Eastern","炮台山, 東區",22.287,114.194,C-17,🟡,57.72%
19,I__19.jpg,"Kwong Hong, Sha Tin","廣康, 沙田区",22.39,114.217,R-40,🟡,57.32%
20,I__20.jpg,"Ching Oi, Wong Tai Sin","正愛, 黄大仙区",22.352,114.199,H-17,🟡,61.10%
21,I__21.jpg,"Kwai Shing West Estate, Kwai Tsing","葵盛西邨, 葵青区",22.358,114.118,S-20,🟡,57.15%
22,I__22.jpg,"Lei Muk Shue West, Tsuen Wan","梨木樹西, 荃湾区",22.378,114.135,K-18,🟡,66.20%
23,I__23.jpg,"Sau Mau Ping South, Kwun Tong","秀茂坪南, 观塘区",22.316,114.235,J-15,🔵,48.27%
24,I__24.jpg,"Hung Hom Bay, Kowloon City","紅磡灣, 九龙城区",22.305,114.185,G-21,🟡,55.36%
25,I__25.jpg,"Laguna City, Kwun Tong","麗港城, 观塘区",22.306,114.227,J-27,🟡,62.01%
26,I__26.jpg,"Wang Tau Hom, Wong Tai Sin","橫頭磡, 黄大仙区",22.341,114.188,H-11,🟡,57.05%
27,I__27.jpg,"Tung Chung Central, Islands","東涌中, 离岛区",22.292,113.946,T-05,🟡,53.44%
28,I__28.jpg,"Wan Tsui, Eastern","環翠, 東區",22.259,114.243,C-13,🟡,52.36%
29,I__29.jpg,"Kwai Hing, Kwai Tsing","葵興, 葵青区",22.367,114.133,S-01,🟡,71.50%
30,I__30.jpg,"Nam Shan, Tai Hang Tung & Tai Hang Sai, Sham Shui Po","南山、大坑東及大坑西, 深水埗区",22.331,114.17,F-25,🟡,59.31%
31,I__31.jpg,"Jordan South, Yau Tsim Mong","佐敦南, 油尖旺区",22.304,114.171,E-19,🟡,51.10%
32,I__32.jpg,"Sai Kung North, Tai Po","西貢北, 大埔区",22.436,114.312,P-19,🟡,58.16%
33,I__33.jpg,"Shui Chuen O, Sha Tin","水泉澳, 沙田区",22.365,114.2,R-09,🟡,50.15%
34,I__34.jpg,"Pik Wui, Sham Shui Po","碧匯, 深水埗区",22.326,114.151,F-12,🟡,57.91%
35,I__35.jpg,"Sai Kung Central, Sai Kung","西貢市中心, 西贡区",22.377,114.27,Q-01,🟡,54.41%
36,I__36.jpg,"Yuen Lung, Yuen Long","元龍, 元朗区",22.443,114.037,M-04,🟡,58.13%
37,I__37.jpg,"Yuet Yan, Yuen Long","悅恩, 元朗区",22.463,113.996,M-28,🟡,54.63%
38,I__38.jpg,"Fu Heng, Tai Po","富亨, 大埔区",22.459,114.174,P-05,🟡,67.45%
39,I__39.jpg,"Tai Shui Hang, Sha Tin","大水坑, 沙田区",22.404,114.24,R-35,🟡,58.72%
40,I__40.jpg,"Shek Yam, Kwai Tsing","石蔭, 葵青区",22.372,114.137,S-08,🟡,56.73%
41,I__41.jpg,"Tanner, Eastern","丹拿, 東區",22.29,114.203,C-22,🟡,57.65%
42,I__42.jpg,"Tsui Hing, Tuen Mun","翠興, 屯门区",22.399,113.971,L-07,🟡,60.62%
43,I__43.jpg,"Kwun Tong On Tai, Kwun Tong","觀塘安泰, 观塘区",22.327,114.23,J-11,🟡,56.42%
