sort,filename,caption_en,caption_zh,latitude,longitude,electoral_code,dc_winner,percentage_democracy
1,001.jpg,"Tin Yiu, Yuen Long District","天耀，元朗區",22.45,114.004,M-19,democracy,61.20
2,002.jpg,"San Po Kong, Wong Tai Sin District","新蒲崗，黃大仙區",22.336,114.2,H-07,democracy,55.77
3,003.jpg,"Mong Kok East, Sham Shui Po District","旺角東，油尖旺區",22.324,114.171,E-14,democracy,59.39
4,004.jpg,"Tai Wai, Sha Tin District","大圍，沙田區",22.377,114.177,R-20,democracy,54.27
5,005.jpg,"Hennessy, Wan Chai District","軒尼詩，灣仔區",22.281,114.176,B-01,democracy,68.23
6,006.jpg,"Tuen Mun Rural, Tuen Mun District","屯門鄉郊，屯門區",22.423,113.989,L-29,democracy,60.17
7,007.jpg,"Shek Wu Hui, North District","石湖墟，北區",22.504,114.127,N-13,democracy,62.09
8,008.jpg,"Ha Tsuen, Yuen Long District","廈村，元朗區",22.443,113.973,M-15,establishment,41.59
9,009.jpg,"Fanling South, North District","粉嶺南，北區",22.489,114.137,N-07,democracy,57.58
10,010.jpg,"Shap Pat Heung North, Yuen Long District","十八鄉北，元朗區",22.452,114.04,M-10,establishment,45.80
11,011.jpg,"Luen Wo Hui, North District","聯和墟，北區",22.5,114.143,N-01,democracy,56.49
12,012.jpg,"Ting Sham, Tsuen Wan District","汀深，荃灣區",22.376,114.059,K-13,democracy,52.97
13,013.jpg,"Hing Tung, Eastern District","興東，東區",22.281,114.219,C-28,democracy,57.82
14,014.jpg,"Wan Shing, Sha Tin District","雲城，沙田區",22.37,114.176,R-16,democracy,59.79
15,015.jpg,"Chung Tin, Sha Tin District","松田，沙田區",22.383,114.166,R-21,democracy,60.51
16,016.jpg,"Fortune, Sham Shui Po District","幸福，深水埗區",22.334,114.154,F-11,democracy,50.61
17,017.jpg,"So Uk, Sham Shui Po District","蘇屋，深水埗區",22.341,114.157,F-20,establishment,48.29
18,018.jpg,"Fortress Hill, Eastern District","炮臺山，東區",22.287,114.194,C-17,democracy,57.72
19,019.jpg,"Kwong Hong, Sha Tin District","廣康，沙田區",22.39,114.217,R-40,democracy,57.32
20,020.jpg,"Ching Oi, Wong Tai Sin District","正愛，黃大仙區",22.352,114.199,H-17,democracy,61.10
21,021.jpg,"Kwai Shing West Estate, Kwai Tsing District","葵盛西邨，葵青區",22.358,114.118,S-20,democracy,57.15
22,022.jpg,"Lei Muk Shue West, Tsuen Wan District","梨木樹西，荃灣區",22.378,114.135,K-18,democracy,66.20
23,023.jpg,"Sau Mau Ping South, Kwun Tong District","秀茂坪南，觀塘區",22.316,114.235,J-15,establishment,48.27
24,024.jpg,"Hung Hom Bay, Kowloon City District","紅磡灣，九龍城區",22.305,114.185,G-21,democracy,55.36
25,025.jpg,"Laguna City, Kwun Tong District","麗港城，觀塘區",22.306,114.227,J-27,democracy,62.01
26,026.jpg,"Wang Tau Hom, Wong Tai Sin District","橫頭磡，黃大仙區",22.341,114.188,H-11,democracy,57.05
27,027.jpg,"Tung Chung Central, Islands District","東涌中，離島區",22.292,113.946,T-05,democracy,53.44
28,028.jpg,"Wan Tsui, Eastern District","環翠，東區",22.259,114.243,C-13,democracy,52.36
29,029.jpg,"Kwai Hing, Kwai Tsing District","葵興，葵青區",22.367,114.133,S-01,democracy,71.50
30,030.jpg,"Nam Shan, Tai Hang Tung & Tai Hang Sai, Sham Shui Po District","南山，大坑東及大坑西，深水埗區",22.331,114.17,F-25,democracy,59.31
31,031.jpg,"Jordan South, Yau Tsim Mong District","佐敦南，油尖旺區",22.304,114.171,E-19,democracy,51.10
32,032.jpg,"Sai Kung North, Tai Po District","西貢北，大埔區",22.436,114.312,P-19,democracy,58.16
33,033.jpg,"Shui Chuen O, Sha Tin District","水泉澳，沙田區",22.365,114.2,R-09,democracy,50.15
34,034.jpg,"Pik Wui, Sham Shui Po District","碧匯，深水埗區",22.326,114.151,F-12,democracy,57.91
35,035.jpg,"Sai Kung Central, Sai Kung District","西貢市中心，西貢區",22.377,114.27,Q-01,democracy,54.41
36,036.jpg,"Yuen Lung, Yuen Long District","元龍，元朗區",22.443,114.037,M-04,democracy,58.13
37,037.jpg,"Yuet Yan, Yuen Long District","悅恩，元朗區",22.463,113.996,M-28,democracy,54.63
38,038.jpg,"Fu Heng, Tai Po District","富亨，大埔區",22.459,114.174,P-05,democracy,67.45
39,039.jpg,"Tai Shui Hang, Sha Tin District","大水坑，沙田區",22.404,114.24,R-35,democracy,58.72
40,040.jpg,"Shek Yam, Kwai Tsing District","石蔭，葵青區",22.372,114.137,S-08,democracy,56.73
41,041.jpg,"Tanner, Eastern District","丹拿，東區",22.29,114.203,C-22,democracy,57.65
42,042.jpg,"Tsui Hing, Tuen Mun District","翠興，屯門區",22.399,113.971,L-07,democracy,60.62
43,043.jpg,"Kwun Tong On Tai, Kwun Tong District","觀塘安泰，觀塘區",22.327,114.23,J-11,democracy,56.42
